,IRIS,LIBCOM,TYP_IRIS,C16_PMEN_MENSFAM,C16_PMEN_MENHSEUL,C16_PMEN_MENFSEUL,C16_PMEN_MENCOUPSENF,C16_PMEN_MENCOUPAENF,C16_PMEN_MENFAMMONO,C16_PMEN_CS1,C16_PMEN_CS2,C16_PMEN_CS3,C16_PMEN_CS4,C16_PMEN_CS5,C16_PMEN_CS6,C16_PMEN_CS7,C16_PMEN_CS8
839,023810301,Hirson,H,10.21024170718724,209.20462878344347,178.6792298757767,474.7762393842066,530.9325687737365,245.04580097249374,40.84096682874896,15.31536256078086,76.5768128039043,178.6792298757767,423.7250308482705,245.04580097249377,449.2506351162386,219.4148704906307
840,023810401,Hirson,H,20.42048341437448,127.6280213398405,107.207537925466,306.3072512156172,510.512085359362,280.7816469476491,0.0,15.31536256078086,61.26145024312344,117.41777963265326,204.2048341437448,377.7789431659279,326.7277346299917,250.15092182608737
866,024080101,Laon,H,107.79373416579504,207.8879887784362,348.36696842162894,326.5639736638121,925.6906967947166,553.3652807565452,0.0,36.99845526530914,11.5678488246946,204.85804850186844,524.9670682757682,831.3530749816623,413.5092303293111,446.41491640232016
867,024080102,Laon,H,28.30161489427196,37.20351811696362,97.23949352486622,129.7499367532899,780.9034093637805,401.1046048781164,0.0,51.47212371327818,12.35926190547762,19.03287310384121,458.31400283317487,546.2840230048712,162.97949452278215,224.06079844786333
868,024080103,Laon,H,32.35397332688569,66.1382081265602,127.43336171666704,184.0855019693072,510.387456083029,246.43730827910923,0.0,8.67186267157545,25.82754293767054,92.24576733838052,256.6383977538437,359.27704181155644,254.24799838112773,169.92719860740394
869,024080201,Laon,H,112.65304102629996,126.75181823842856,300.8036074883314,808.444184227579,1431.7447771288398,420.0358839764475,0.0,112.78546990646412,146.3644511965537,451.7058476153104,806.4421306183855,872.3815448214108,644.1624888951965,166.59137903260523
870,024080301,Laon,H,42.96097717001628,211.37461851582265,351.6670929973421,468.1254059683868,486.8450598872851,259.1161778137455,14.5547999420494,69.8724141583248,220.9914880764981,323.281040432656,255.21084276061407,269.0944810850379,554.1193988041136,112.96486709330452
871,024080401,Laon,H,40.02037609192386,41.42713953616946,125.24393449592436,412.77470860814265,354.6791285809024,41.70523555873694,0.0,19.42779329725617,95.24240863374467,193.7268184770588,100.24087484271011,160.59719354675406,406.3496786347046,40.26575543957125
872,024080402,Laon,H,36.64292684510644,244.6568771261755,312.3682432750893,394.9677136407403,647.2320077597846,355.16428913238843,0.0,47.06140725004594,67.58392810253034,225.3252299751992,512.3018571342571,675.5906732710412,348.6707321699961,114.49822987621468
873,024080501,Laon,H,95.86501819112362,654.4357413495926,745.707044530323,610.1220284777282,784.3738487079493,550.4248600306313,6.11624540079722,112.58079836825075,532.6467005763278,710.6255680623052,626.3870419355788,494.0755829793417,438.53710646692616,519.9594974978203
874,024080601,Laon,H,54.6578303162968,269.6620472143276,300.86481473019023,532.5127699603977,779.7772834988052,298.23689636727386,0.0,72.5817519785227,131.83710620377678,366.148627945176,638.612635729919,434.42708604912457,465.3582600734155,126.7461741073567
875,024080701,Laon,H,0.0,4.97344754383412,0.0,16.1660907957406,39.03532202699912,18.64997953052308,0.0,0.0,0.0,8.0830453978703,1.38771715420782,37.25734108905878,11.47851875127048,20.61821750468954
876,024080801,Laon,H,55.677752544186,316.2950834301317,445.9541491295946,615.6593530656388,1204.0501005447013,555.2584870386164,0.0,124.24099577485003,157.55588554934658,467.6031300590697,673.6184637795702,732.1244899771693,777.2943811028975,260.4575795099656
877,024080901,Laon,H,25.11476098900176,130.52457563751932,197.1569338179732,531.5871883899108,661.1275788371269,226.73292478511013,6.63243383439458,112.38607548639064,159.6245093752718,448.097491262216,328.7036442127014,212.32648818980465,484.4324038488792,20.04091624698392
1151,026910101,Saint-Quentin,H,80.96203866553162,269.6005026530886,410.92660989926986,491.7661443697068,596.6089812013985,316.5990025025441,0.0,106.4599738269896,446.8714289817828,397.0709257565007,307.1789579842111,330.2327337151256,378.3597537721034,200.28950525482628
1152,026910102,Saint-Quentin,H,86.31080146923873,245.0935165792007,347.54551055883087,409.074461175676,667.5380797332531,229.68716793283215,26.6571924803738,122.60520973770298,429.74396819908486,311.789714827619,309.6104546460761,243.2334003703625,364.16448504494224,177.44511214287
1153,026910103,Saint-Quentin,H,24.594807103940852,333.3072761228483,329.81714007259865,410.3707885873696,477.7927141147284,314.2460485671867,0.0,63.39274293788175,252.61229801293115,337.3642425409741,333.72163272516406,248.6521316504364,307.54717673986875,346.8385499614163
1154,026910104,Saint-Quentin,H,78.96778276758678,317.391249353856,314.2412539040102,477.92100376768815,642.3669330121998,322.6868175682138,0.0,122.75336866059014,252.07691483073003,353.579116881803,435.63276321093343,417.0123132094114,408.7323436094687,163.78821997061803
1155,026910201,Saint-Quentin,H,39.82165302166356,265.70093752539486,309.81515768579305,532.841234172059,806.3650859143614,367.4860134178912,0.0,86.19194972468917,367.5943494874349,366.67951233454505,497.81289636045966,393.9179193359454,467.4318036352311,142.40165085885786
1156,026910202,Saint-Quentin,H,45.73648115456245,186.6519940826108,207.6701182410488,324.41568650836825,709.8472426382298,152.45529140340454,0.0,89.7396732620312,167.19442891996945,271.3712040436788,487.20253479436855,206.4783372004413,370.51090721016095,34.27972859757439
1157,026910203,Saint-Quentin,H,26.64541046351796,87.32233641349642,327.3423838232743,555.287227855462,396.076059462442,300.2347653917798,0.0,37.9893200047725,144.5998005680619,238.32864998790137,367.5666481600144,165.16281843657907,634.459290103513,104.80165614913028
1158,026910204,Saint-Quentin,H,26.85349664206659,97.53238836813831,127.29578498690644,178.3866758448121,805.9749998339528,491.9887712118815,0.0,27.23198945520546,84.69939235317216,112.35925054289426,347.04202006200967,586.3426509693611,204.1905693152224,366.16624418989255
