,IRIS,LIBCOM,TYP_IRIS,P16_POP0014,P16_POP1529,P16_POP3044,P16_POP4559,P16_POP6074,P16_POP75P,C16_POP15P_CS1,C16_POP15P_CS2,C16_POP15P_CS3,C16_POP15P_CS4,C16_POP15P_CS5,C16_POP15P_CS6,C16_POP15P_CS7,C16_POP15P_CS8
291,012830201,Oyonnax,H,406.4308296654397,387.943791010926,374.1905571008177,459.101241278048,364.1887960034867,345.42662494765807,0.0,55.87634925673186,114.97890068786002,204.4710834120127,164.13018346220065,466.7886798123636,647.374221678605,282.2315887074837
292,012830202,Oyonnax,H,354.5045487134119,375.20585934917705,388.9371493229111,453.9413559315881,343.2614249442607,239.3403703660189,0.0,68.80457209175096,85.03621721316475,252.0991014225554,237.60037508935548,402.0955069433507,530.8656572531106,224.1847299006677
293,012830203,Oyonnax,H,382.1124710172681,334.4370319393102,301.99728710703613,353.74768937806806,378.6329865724689,167.61808993433357,0.0,32.73625435503822,42.72214237214057,148.94399601445127,159.7712053334601,340.7685104342317,467.059773949112,339.43120579646177
294,012830301,Oyonnax,H,521.5790793171329,390.8377556074042,431.3834706546812,573.7086202498433,417.0938290670391,225.0050376273954,2.60746772322401,62.71807123694197,96.71084498375328,225.18568211107828,283.37459469584456,500.8291916442384,549.2594474175395,317.34341339374333
296,012830303,Oyonnax,H,521.6138953443326,399.2133029131202,485.5104466617535,404.1491043296208,284.56284646331795,161.60912197774596,0.0,97.06986104849004,113.99387173766908,256.362554279138,273.7447549850973,392.88849649162137,373.0713779250869,227.91390587845584
297,012830304,Oyonnax,H,389.4115992775592,397.85133755866985,369.1196670255056,513.8584501931341,274.82938706962943,154.3758169610168,0.0,80.80447909498027,95.63755294664595,208.53056348801584,253.01637818771044,495.5720068266767,366.93274961446286,209.54092864946367
298,012830305,Oyonnax,H,231.5266890720775,180.3946795318564,253.2909115843493,419.9772051007444,284.8612383333474,96.84858418724049,8.27668084048437,73.42368947798765,117.43807929588802,196.7473984739993,166.55363794327414,169.47945183308448,343.3927079984851,160.06097287433482
304,012890101,Péronnas,H,452.0,501.0,404.0,579.0,491.0,369.0,0.0,35.0,125.0,355.0,355.0,350.0,810.0,320.0
305,012890102,Péronnas,H,533.0,554.0,483.0,758.0,703.0,460.0,0.0,120.0,295.0,440.0,430.0,290.0,1045.0,340.0
361,013540101,Saint-Genis-Pouilly,H,1106.5578447556231,739.459962619646,1109.0444189622888,802.431763910799,404.8559252669502,146.6852396417308,10.89073344399302,82.85178764046813,690.1365768048918,546.6326544323975,577.2006161685681,286.3379213162165,487.4652541475353,523.9203469640531
362,013540102,Saint-Genis-Pouilly,H,785.4285604806564,679.8309328045854,1092.711323673862,647.8487636851597,364.5710709202292,319.3092436635286,0.0,54.46256730849124,654.9191384567482,431.5884305857695,683.2265676922459,356.2553605013973,549.7870686693525,419.2162404347597
363,013540103,Saint-Genis-Pouilly,H,780.4564686263501,825.0512851579388,988.5395755259744,536.4366640062678,391.5271327811643,171.25382351722524,0.0,66.41091530686401,590.4456247528265,479.4450775734032,651.8154797604539,378.69906799399416,390.6338469305304,393.1108920884421
432,014270101,Trévoux,H,607.6797932595437,390.78500892082167,513.7539051389782,504.93246858611366,272.3589737394755,80.9457829601777,0.0,76.2163819748332,239.44063436228677,306.4541628057602,335.6155422714439,222.6951848921837,296.9019821495568,311.59065225413474
433,014270102,Trévoux,H,880.1442090883188,859.4864333904397,948.5619769670856,845.8908050539104,572.9949910645304,371.4656518305827,5.28572028622077,144.5049877811978,357.5638357919785,629.4446299953314,544.5620634217037,575.8024258935232,844.780959103984,556.4469720120294
455,014510101,Viriat,H,328.17573079732045,232.29306246195875,260.9590148508813,393.4154845100408,290.6134483566633,117.62925290626849,14.82721675289097,54.36646142726689,113.67532843883076,257.0050903834435,232.29306246195853,177.92660103469163,331.1411741478983,133.44495077601874
456,014510102,Viriat,H,890.5393914608422,762.5601233522806,840.9035779350297,1017.5478453405432,806.4536651011101,408.90940292706114,19.76962233718796,143.3297619446127,267.1213291387296,518.952586351184,701.8215929701726,523.8949919354809,1057.674795039556,563.3823959658248
623,021680101,Château-Thierry,H,696.5723101620101,891.3011588290551,860.0805467382058,641.34409607591,648.0981098970015,346.2616713966597,1.966971634604732,79.36338977962667,172.83125868137347,401.8877232010443,659.710058991724,667.5887517739715,856.6629156777395,580.9206778010193
624,021680201,Château-Thierry,H,302.94182548374414,439.5898849654617,403.58747845940695,389.5656858106241,317.47987866796257,377.9866781475083,5.86795779262588,54.66395822836179,121.7273107820472,204.224324141477,226.86055856701967,304.246370390228,565.9187628202947,446.6654854602783
626,021680401,Château-Thierry,H,424.5250101343795,400.51426529249,354.9521612862284,361.0786393355254,318.68212686419605,225.47525523571946,3.41976920566868,60.7289529147656,119.8620529422715,150.67959527490453,277.81384135675574,317.38620284211765,501.5013901428727,225.64397550267347
627,021680501,Château-Thierry,H,447.41464822733656,465.69993952363774,368.5735308087926,365.09344542267,263.45216785424213,122.15332524704453,0.0,25.782848682484143,15.68523144917928,78.75024462039332,319.5561958644158,380.10709265018136,348.4781265523796,404.2793317838274
628,021680601,Château-Thierry,H,253.6043804626412,276.8898428061081,289.9743290819008,369.526230097079,331.97365778826725,304.25826959516587,3.12081971699284,38.18671026002633,117.7662088852892,194.44604462744388,150.7155977435431,186.59078203234395,607.9387367893337,275.7092817540175
629,021680701,Château-Thierry,H,581.7813512880892,406.4284071633455,448.8634052190139,407.7928885964207,437.3711290444018,143.41880291904243,4.22595822876472,16.20982228187045,67.75606310626823,150.94298639794485,376.6515781203939,305.95960384302765,524.5821456424055,397.54647532154905
634,021730101,Chauny,H,929.4480421989948,923.668409295298,765.3580010650398,802.1626254709427,716.7572227294676,321.68207884474356,2.79250850564184,59.4468956232808,80.30921648442185,372.6349532360446,609.4332821648502,644.301724656651,953.0812755419056,833.6293165716633
635,021730201,Chauny,H,831.5724686053982,894.4099968616624,736.8173640883965,874.5770381229629,815.9486905178371,448.8222423436603,0.0,149.4111889186071,144.46275482139106,385.4392452248016,655.2447127885928,552.7056868644408,1132.4719214645102,727.8390828630897
636,021730301,Chauny,H,434.2977427842402,485.61437861950407,472.2854750936787,537.0458652406993,499.10833577551966,485.4240223419512,0.0,80.73651254249577,166.45657415906564,325.2316310300362,383.87100719815896,236.95983366909036,872.7996884760998,405.4225729567256
797,023400101,Gauchy,H,350.4262479318511,274.8098388881216,323.27371691685306,424.0485944048767,325.5137445655308,161.52812985355484,0.0,40.07548623508355,49.53071861564516,213.95715014773177,271.94682652397444,232.7640125646036,448.8707205130426,280.91700731785
798,023400201,Gauchy,H,439.5176151684568,374.9656110560729,395.526774893697,458.75183310160224,322.66499954695865,212.43831809930873,0.0,44.36703994588388,44.63590226192682,243.16751099592173,313.76487492948235,198.18752092257404,580.1385387537721,379.60686413394
799,023400301,Gauchy,H,162.6245076118207,173.90598055922348,183.42239789895848,275.61237346178604,329.78478099013023,111.1845350511936,0.0,0.0,25.03146281511051,64.36797303012028,233.6271877938288,148.61074079370374,444.1684238250332,162.7143675334628
837,023810101,Hirson,H,642.1517711108218,588.4868325342634,522.1716284660207,641.2560063119064,564.6263664074521,317.53851709352193,0.0,51.0512085359362,91.89217536468516,193.99459243655755,418.6199099946769,448.7073930818401,827.0295782821664,605.5563764723801
838,023810201,Hirson,H,567.6894389196083,488.7271162231001,404.3255716046131,459.439811580645,415.14800471207576,408.5321999682283,10.21024170718724,35.73584597515534,30.63072512156172,142.94338390062137,340.2711727636447,321.4180852879059,723.518667097689,545.838874357533
839,023810301,Hirson,H,251.1719459968051,292.99180651071464,256.25600160761974,351.21124948446067,351.21124948446067,105.16548958402817,10.21024170718724,15.31536256078086,45.94608768234258,102.1024170718724,316.5174929228044,178.6792298757767,439.0403934090513,280.6763207337541
840,023810401,Hirson,H,266.48730855758595,248.7755127699421,215.74835442151752,237.89863177746176,253.21399433824257,134.77519053487106,0.0,10.21024170718724,25.5256042679681,91.89217536468516,127.6280213398405,163.36386731499584,347.14821804436616,270.57140524046184
866,024080101,Laon,H,509.4053992516225,582.8255418421747,387.3786018285603,460.1110143067476,353.751934432,176.19615091982882,0.0,19.86104927241943,8.67588661852095,108.63948694824867,341.6520858062566,430.7773876172806,420.04754102175866,630.6098060448264
867,024080102,Laon,H,436.20084361322375,376.5349498120263,237.8817858226725,218.0677827268728,168.71581302000703,37.10140253648618,0.0,11.54122647701324,4.97012152168497,21.20358085912204,206.2488930213633,257.53671420083856,156.247795676431,380.5534021616117
868,024080103,Laon,H,286.3989337437575,231.15414308388387,181.0676628122765,185.84366202728057,166.03362554084734,116.33778229351259,0.0,2.89062089052515,23.23508361572842,59.87099701044628,147.89620470006457,175.4687646375119,254.35918686801037,216.7160180355142
869,024080201,Laon,H,677.5733637411629,822.4857175481271,674.4442729148898,750.4833874204005,571.6214819659206,303.8178173479112,0.0,72.40293808909861,81.71789987388496,273.578764495345,529.4546472468958,434.2557631324972,734.029675422675,993.4130374111694
870,024080301,Laon,H,237.5671815647494,297.4722062418569,241.15462920586876,406.24022328881534,344.98088253719294,305.6740519725857,2.91095998840988,38.0611568556738,120.81425597726069,246.9099754669165,236.96809311932344,157.58795953619526,556.5308882438397,235.73870405870025
871,024080401,Laon,H,120.72613260213014,88.05711051025092,111.13664880684917,253.08154877575728,316.64984505216955,126.19923712464258,0.0,16.78817035258031,66.3295078062085,109.09486803899404,104.49413183903872,76.28505918753459,416.277189200528,105.8554638447854
872,024080402,Laon,H,354.9426168774647,444.26559054294034,385.12576724946337,413.9734797846134,313.17896096256385,79.54564236223888,3.13404550994542,26.73937360999087,26.03061878576531,144.65520156255653,424.053535267421,363.2816039625051,360.2204782105007,287.9745839931349
873,024080501,Laon,H,500.6388802583182,1126.4230961796177,776.1185074899417,486.9669427582657,420.7941323454104,270.98527353612843,3.05812270039861,62.90267031904897,375.73239707854856,556.9525809506805,461.8032912944765,354.242865673712,536.3261412638708,715.2700648073161
874,024080601,Laon,H,397.3371788526122,446.3812334506068,446.6327984413931,432.852483416656,353.8085280607175,203.69887452924223,0.0,43.65218653800487,89.37918123033224,233.5262926136066,438.116814915608,248.16497699652064,501.981884520667,350.5523144751341
875,024080701,Laon,H,10.42778014259596,61.98783609480227,23.88931466635552,17.05364534522725,11.81326341065934,7.65234583418032,0.0,0.0,0.0,13.08298480497435,1.38771715420782,64.65392182735117,15.35184273432314,18.92004789758093
876,024080801,Laon,H,686.5403646242321,526.6349180239083,555.60604197339,639.8636052671723,574.8919514816635,409.35562066666483,0.0,52.68936803874867,101.21876244665124,287.5348989418807,428.0671206285877,382.3052427344359,931.3397085183742,526.196999748383
877,024080901,Laon,H,314.1527734498642,342.0495494833549,321.87304535167783,410.91380668542456,382.4635825572117,281.7877996083565,3.31621691719729,60.47805155959715,99.14804087964208,293.77851776562795,245.0478720981456,189.72731324413164,512.7374591564604,350.85411816795647
1151,026910101,Saint-Quentin,H,349.4353321944777,473.911659144039,349.1766368897413,480.81952812470246,324.03754068495334,196.0825226465352,0.0,77.33952953256178,247.78683425248244,292.6978789444936,238.21886060978903,181.08362796725987,409.56736952832586,385.3337185326696
1152,026910102,Saint-Quentin,H,283.7307257478108,460.25674497375655,412.1322791620832,338.09298278791704,309.30647222220404,292.72938735711034,11.8603299857214,58.88080543128183,249.0235963693713,263.09114215761343,212.8830293588049,154.58561073674403,522.4230482665777,343.770270135762
1153,026910103,Saint-Quentin,H,334.0616622192282,626.0833956761143,346.9409228191953,228.99697897827969,210.69330254331751,144.3525038172389,0.0,29.336192708883367,215.83595837327655,236.1320715191192,250.3123320145272,159.33219397454167,304.68114315859634,357.43724614639586
1154,026910104,Saint-Quentin,H,356.486880886545,643.532385568644,377.6605411392425,347.74339674184085,314.71598999952784,227.43487529370904,0.0,56.48413904061825,188.74242650420692,246.85731114204864,328.1812240977452,251.46231380954143,502.2693098673549,334.0904898273448
1155,026910201,Saint-Quentin,H,422.0155666490396,446.4178926053581,495.0110113491025,412.1600350730794,304.3990773089644,254.0263965680354,0.0,51.07209391812301,204.3950465061224,277.3075958455061,345.00894203361423,214.6523364061503,498.4354667040719,315.1429825827436
1156,026910202,Saint-Quentin,H,283.33624199991726,275.4143838374758,358.92644696952243,335.3541815232132,212.23356974077893,186.51177707485104,0.0,36.68966622268423,116.45492048005656,173.59439565265097,319.2864803772459,146.74947395574554,381.6345332203628,194.03088923709527
1157,026910203,Saint-Quentin,H,210.61647157787968,227.4190407328207,256.3829830388567,297.6850616217566,421.6449273417512,315.1593925461565,0.0,23.62131530516931,107.55646814173642,164.3804820168604,245.3659911170629,93.44168636299229,665.1110355777556,215.8144523056607
1158,026910204,Saint-Quentin,H,493.6059122355227,370.01282447186463,326.1826159619663,275.8880138025221,178.19310725884247,84.14964315703935,0.0,12.00901486480657,41.11513355211629,67.29139684759232,227.0096559711852,208.010883893112,227.2623584463797,451.7277610770428
1159,026910205,Saint-Quentin,H,255.3699018832309,258.55607765419904,200.5138663427473,265.45159574569686,242.0790620387916,77.44918191350395,0.0,16.27838707758986,9.65420220040031,38.98099240300969,171.2434862147594,226.5114213777753,277.8113113742481,303.5699830471562
1160,026910206,Saint-Quentin,H,310.0496509819518,209.63448235766663,177.1315484068751,209.60464410260784,304.269876836147,233.91762597375578,0.937243067145866,9.283792961358484,7.491616299441822,62.443047676282575,141.92692561141644,123.92054949490888,475.5258481942074,313.02915437229075
